x,y,t
24.738861602138858,60.8864558205588,5849.5
24.740589668122112,60.887680072358535,5849.75
24.742317734105363,60.88890432415827,5850.0
24.744045800088617,60.890128575958,5850.25
24.745773866071872,60.891352827757736,5850.5
24.747501932055126,60.89257707955747,5850.75
24.74922999803838,60.893801331357196,5851.0
24.750958064021635,60.89502558315693,5851.25
24.75268613000489,60.89624983495666,5851.5
24.754414195988144,60.8974740867564,5851.75
24.756142261971398,60.89869833855613,5852.0
24.757870327954652,60.899922590355864,5852.25
24.759598393937907,60.9011468421556,5852.5
24.76132645992116,60.902371093955324,5852.75
24.763054525904415,60.90359534575506,5853.0
24.76478259188767,60.90481959755479,5853.25
24.766510657870924,60.906043849354525,5853.5
24.76823872385418,60.90726810115426,5853.75
24.769966789837433,60.90849235295399,5854.0
24.771694855820687,60.909716604753726,5854.25
24.77342292180394,60.91094085655345,5854.5
24.775150987787196,60.912165108353186,5854.75
24.77687905377045,60.91338936015292,5855.0
24.778607119753705,60.91461361195265,5855.25
24.78033518573696,60.91583786375239,5855.5
24.782063251720214,60.91706211555212,5855.75
24.783791317703468,60.918286367351854,5856.0
24.785519383686722,60.91951061915159,5856.25
24.787247449669977,60.920734870951314,5856.5
24.78897551565323,60.92195912275105,5856.75
24.790703581636485,60.92318337455078,5857.0
24.792431647619736,60.924407626350515,5857.25
24.79415971360299,60.92563187815025,5857.5
24.795887779586245,60.92685612994998,5857.75
24.7976158455695,60.928080381749716,5858.0
24.799343911552754,60.92930463354944,5858.25
24.801071977536008,60.930528885349176,5858.5
24.802800043519262,60.93175313714891,5858.75
24.804528109502517,60.93297738894864,5859.0
24.80625617548577,60.93420164074838,5859.25
24.807984241469025,60.93542589254811,5859.5
24.80971230745228,60.936650144347844,5859.75
24.811440373435534,60.93787439614757,5860.0
24.81316843941879,60.939098647947304,5860.25
24.814896505402043,60.94032289974704,5860.5
24.816624571385297,60.94154715154677,5860.75
24.81835263736855,60.942771403346505,5861.0
24.820080703351806,60.94399565514624,5861.25
24.82180876933506,60.94521990694597,5861.5
24.823536835318315,60.9464441587457,5861.75
24.82526490130157,60.94766841054543,5862.0
24.826992967284824,60.948892662345166,5862.25
24.828721033268078,60.9501169141449,5862.5
24.830449099251332,60.95134116594463,5862.75
24.832177165234587,60.95256541774437,5863.0
24.83390523121784,60.9537896695441,5863.25
24.835633297201095,60.95501392134383,5863.5
24.83736136318435,60.95623817314356,5863.75
24.839089429167604,60.957462424943294,5864.0
24.840817495150855,60.95868667674303,5864.25
24.84254556113411,60.95991092854276,5864.5
24.844273627117364,60.961135180342495,5864.75
24.846001693100618,60.96235943214223,5865.0
24.847729759083872,60.963583683941955,5865.25
24.849457825067127,60.96480793574169,5865.5
24.85118589105038,60.96603218754142,5865.75
24.852913957033635,60.967256439341156,5866.0
24.85464202301689,60.96848069114089,5866.25
24.856370089000144,60.96970494294062,5866.5
24.8580981549834,60.97092919474036,5866.75
24.859826220966653,60.97215344654009,5867.0
24.861554286949907,60.97337769833982,5867.25
24.86328235293316,60.97460195013955,5867.5
24.865010418916416,60.975826201939284,5867.75
24.86673848489967,60.97705045373902,5868.0
24.868466550882925,60.97827470553875,5868.25
24.87019461686618,60.979498957338485,5868.5
24.871922682849434,60.98072320913822,5868.75
24.873650748832688,60.981947460937945,5869.0
24.875378814815942,60.98317171273768,5869.25
24.877106880799197,60.98439596453741,5869.5
24.87883494678245,60.985620216337146,5869.75
24.880563012765705,60.98684446813688,5870.0
24.88229107874896,60.988068719936614,5870.25
24.884019144732214,60.98929297173635,5870.5
24.88574721071547,60.990517223536074,5870.75
24.887475276698723,60.99174147533581,5871.0
24.889203342681977,60.99296572713554,5871.25
24.890931408665228,60.994189978935275,5871.5
24.892659474648482,60.99541423073501,5871.75
24.894387540631737,60.99663848253474,5872.0
24.89611560661499,60.997862734334475,5872.25
24.897843672598245,60.9990869861342,5872.5
24.8995717385815,61.000311237933936,5872.75
24.901299804564754,61.00153548973367,5873.0
24.90302787054801,61.0027597415334,5873.25
24.904755936531263,61.00398399333314,5873.5
24.906484002514517,61.00520824513287,5873.75
24.90821206849777,61.006432496932604,5874.0
24.909940134481026,61.00765674873233,5874.25
24.91166820046428,61.008881000532064,5874.5
24.913396266447535,61.0101052523318,5874.75
24.91512433243079,61.01132950413153,5875.0
24.916852398414044,61.012553755931265,5875.25
24.918580464397298,61.013778007731,5875.5
24.920308530380552,61.01500225953073,5875.75
24.922036596363807,61.01622651133046,5876.0
24.92376466234706,61.01745076313019,5876.25
24.925492728330315,61.018675014929926,5876.5
24.92722079431357,61.01989926672966,5876.75
24.928948860296824,61.02112351852939,5877.0
24.93067692628008,61.02234777032913,5877.25
24.932404992263333,61.02357202212886,5877.5
24.934133058246587,61.024796273928594,5877.75
24.93586112422984,61.02602052572832,5878.0
24.937589190213096,61.027244777528054,5878.25
24.93931725619635,61.02846902932779,5878.5
24.9410453221796,61.02969328112752,5878.75
24.942773388162855,61.030917532927255,5879.0
24.94450145414611,61.03214178472699,5879.25
24.946229520129364,61.03336603652672,5879.5
24.94795758611262,61.03459028832645,5879.75
24.949685652095873,61.03581454012618,5880.0
24.951413718079127,61.037038791925916,5880.25
24.95314178406238,61.03826304372565,5880.5
24.954869850045636,61.03948729552538,5880.75
24.95659791602889,61.04071154732512,5881.0
24.958325982012145,61.04193579912485,5881.25
24.9600540479954,61.04316005092458,5881.5
